order,id,class,brand,pattern,kind,reason,evidence,example_brand,example_model
1,ice-hilux-pack-electrico,ICE,,PACK ELECTRICO,exclusion,"Toyota Hilux 'DX PACK ELECTRICO' trims: 'eléctrico' refers to the electric-windows pack, not the drivetrain. Must run before the generic 'ELECTRICO' BEV token.",Model string itself: '… PACK ELECTRICO 2.5 TDI' is a 2.5 turbo-diesel.,TOYOTA,HILUX 4X4 C/D DX PACK ELECTRICO 2.5 TDI - C3
2,erev-token,EREV,,\b(REEV|EREV)\b|RANGE EXTEND,token,"Range-extended EVs: the petrol engine only charges the battery and the car plugs in. DNRPA designations say so explicitly (Leapmotor 'REEV', Forthing 'REEV', Changan Deepal 'REEV').",Manufacturer designations; EREV folds into PHEV in the 3-curve chart (glossary).,LEAPMOTOR,B10 REEV DESIGN
3,phev-token,PHEV,,\bPHEV\b|PLUG-? ?IN|ENCHUFABLE,token,"Explicit plug-in hybrid markers in the designation ('PHEV', 'PLUG-IN', 'ENCHUFABLE').",Designation text.,CHEVROLET,CAPTIVA PHEV PREMIER
4,phev-dm-idm,PHEV,,\bDM-?[IP]\b|\bDMO\b|\bI-DM\b,token,BYD's plug-in families are named DM-i / DM-p (and 'DMO' for the Shark pickup); Jetour's is i-DM. All plug in.,BYD and Jetour Argentina spec sheets; ACARA ranks Atto 2 / Song Pro as PHEV.,BYD,ATTO 2 DM-I GS
5,phev-hybrid4,PHEV,,HYBRID4,token,Peugeot/DS 'HYBRID4' is the all-wheel-drive plug-in system.,Stellantis nomenclature.,PEUGEOT,3008 GT PACK HYBRID4 AM22
6,phev-stellantis-hybrid-power,PHEV,^(PEUGEOT|CITROEN|DS|OPEL)$,HYBRID ?(180|225|300)\b,brand-code,Stellantis 'Hybrid 180/225/300' are plug-in hybrids (the mild hybrids are 'Hybrid 100/136/145'). Must run before the Stellantis mild-hybrid rule.,Stellantis nomenclature; no Argentine registration yet (anticipatory).,,
7,bev-ds3-etense,BEV,^DS$,\bDS ?3\b.*E-TENSE,model,DS 3 E-Tense is the battery-electric DS 3; every other DS E-Tense is a plug-in hybrid. Must run before 'phev-ds-etense'.,DS nomenclature; no Argentine registration yet (anticipatory).,,
8,phev-ds-etense,PHEV,^DS$,E-TENSE,brand-code,DS 4 / DS 7 / DS 9 'E-TENSE' are plug-in hybrids.,DS Argentina lists the DS 7 E-Tense 4x4 300 as híbrido enchufable.,DS,DS 7 CROSSBACK E-TENSE 4X4 300 BASTILLE+
9,phev-porsche-hybrid,PHEV,^PORSCHE$,HYBRID,brand-code,Every Porsche 'Hybrid' / 'E-Hybrid' is a plug-in hybrid (Porsche sells no full or mild hybrid under that name).,Porsche nomenclature (Cayenne E-Hybrid).,PORSCHE,CAYENNE E-HYBRID COUPE
10,phev-volvo-t-codes,PHEV,^VOLVO$,\bT[5-8] (TWIN ENGINE|RECHARGE)\b|\bT8\b|RECHARGE T\d,brand-code,"Volvo 'T8', 'T5/T6 Twin Engine' and 'Recharge T…' are plug-in hybrids. Scoped to Volvo because 'T8' in e.g. a DS designation means an 8-speed gearbox.",Volvo nomenclature; the DS 4 'PERFORMANCE LINE 215 A T8' is a petrol automatic.,VOLVO,XC60 T8 AWD RECHARGE
11,phev-bmw-mini-e-suffix,PHEV,^(BMW|MINI)$,"\d{2,3} ?X?E\b|\bI8\b",brand-code,"BMW plug-ins carry an 'e' after the power code (330e, 550e, X1 xDrive25e, X3 xDrive30e, 225xe); the i8 is a plug-in hybrid.",BMW nomenclature.,BMW,X3 XDRIVE 30E
12,phev-landrover-p-e,PHEV,^(LAND ROVER|JAGUAR)$,\bP\d{3}E\b,brand-code,Land Rover / Jaguar plug-ins are 'P300e / P400e / P440e' (an 'e' after the P-code; 'P300 SE' is a petrol trim).,JLR nomenclature.,LAND ROVER,DEFENDER P400E X-DYNAMIC
13,phev-mercedes-e-suffix,PHEV,^MERCEDES,\b\d{3} ?D?E\b|\bE PERFORMANCE\b,brand-code,"Mercedes plug-ins: 'C 300 e', 'GLE 350 de' and AMG 'E PERFORMANCE'.",Mercedes nomenclature.,MERCEDES BENZ,GLC 350 E 4MATIC
14,phev-audi-tfsi-e,PHEV,^AUDI$,TFSI ?E\b,brand-code,Audi plug-ins are 'TFSI e'.,Audi nomenclature; no Argentine registration yet (anticipatory).,,
15,phev-jeep-4xe,PHEV,^JEEP$,\b4XE\b,brand-code,Jeep plug-ins are '4xe'.,Jeep nomenclature.,JEEP,WRANGLER UNLIMITED RUBICON 4XE
16,phev-lexus-h-plus,PHEV,^LEXUS$,\d{3}H\+,brand-code,"Lexus 'h+' (NX 450h+, RX 450h+) are plug-in hybrids; plain 'h' is a full hybrid.",Lexus nomenclature.,LEXUS,NX 450H+
17,phev-chevrolet-volt,PHEV,^CHEVROLET$,\bVOLT\b,model,Chevrolet Volt is a plug-in (range-extended) hybrid.,No Argentine registration yet (anticipatory).,,
18,phev-changan-cs55plus,PHEV,^CHANGAN$,\bCS55 PLUS\b|\bIDD\b,model,"The only CS55 Plus sold in Argentina is the iDD plug-in hybrid (18.4 kWh, 125 km electric range); its designation carries no PHEV marker. First registered 2025-11. If a petrol CS55 Plus is ever imported, this rule must be narrowed.",changan.com.ar lists only 'CS55 Plus PHEV'; launch coverage 16valvulas.com.ar / megautos.com (2026).,CHANGAN,CS55 PLUS
19,phev-dfsk-e5,PHEV,^DFSK$,^E5\b,model,"Every DFSK E5 sold in Argentina (E5 2025 and E5 Plus 2026) is a plug-in hybrid (18 kWh, 85–97 km electric range). There is no petrol E5.",autoweb.com.ar 2025-09-24 'DFSK lanza el E5 … híbrido enchufable'; autoblog.com.ar E5 Plus PHEV launch.,DFSK,E5
20,phev-swm-edi,PHEV,^(SHINERAY|SWM)$,\bEDI\b,model,SWM (Shineray) G03F 'EDi' is the plug-in hybrid (48 km electric range); the plain G03F is petrol.,swmmotors.es G03F EDi spec; Argentine dealer listings 'G03F EDI HIBRIDA'.,SHINERAY,G03F EDI
